Timestamp,What is your class standing?,How many credits are you signed up for in Autumn 2024?,Are you a vegetarian?,How many hours of sleep do you get on average each night? ,Would you date someone with a great personality even if you did not find them attractive?,What is your biological sex?,"How many hours do you study outside of classes (on average) per week? (if this is your first quarter at UW, you may skip this question) ",What day of the week were you born?,What is the most (in dollars) you have paid for a haircut?,How many pairs of shoes do you own?,How nervous are you about taking STAT 311,How many siblings do you have? (include step sibs too),"Suppose you were late to an exam and decided to use the ""flat tire"" excuse. Which tire would you  pick?",What is your height (in inches)?,What is the fastest you have ever driven (in miles per hour). Skip this question if you do not drive.,"How many years have you lived in WA state? (enter 0 if none, round your answer to a whole number)",How many states in the U.S. have you visited?,How much money did you earn last year (in dollars )? ,Do you usually eat breakfast in the morning?,Do you wear eyeglasses or contact lenses?,What is your monthly rent?,"Scientists predict that global warming may have big effects on the polar regions within the next 100 years. One of the possible effects is that the northern ice cap may completely melt. Would this bother you a great deal, some, a little, or not at all if it actually happened?"
9/19/2024 23:29,Freshman,12,No,6,No,Female,,Sunday,30,4,4,1,left front,61,,0,9,"8,000",No,No,1000,A great deal
9/21/2024 14:27,Sophomore,13,No,8,yes,Male,20,Thursday,25,3,4,2,right back,72,70,19,5,2382,Yes,No,2250,A great deal
9/21/2024 14:47,Sophomore,15,No,8,No,Male,28,Sunday,60,4,4,1,right back,64,120,0,24,8000,No,Yes,1800,Somewhat
9/21/2024 18:29,Junior,10,No,5,yes,Male,30,Monday,1,5,1,1,right front,70,60,17,20,100,Yes,Yes,1871,A great deal
9/21/2024 21:05,Junior,13,Yes,7,yes,Female,12,Wednesday,25,3,4,1,right front,62.5,50,19,13,$550 ,No,Yes,"$1,391 ",Somewhat
9/21/2024 23:19,Sophomore,15,Sometimes,7,No,Female,20,Thursday,300,7,3,1,right back,59,80,20,7,"4,000",No,Yes,"1,400",A great deal
9/22/2024 10:37,Sophomore,14,No,9,yes,Male,20,Thursday,62,7,4,5,left front,72,25,1,2,0,Yes,Yes,1600,Somewhat
9/22/2024 16:47,Sophomore,15,No,7.5,yes,Female,20,Saturday,80,10,2,2,right back,66,85,1,17,"5,000",Yes,Yes,730,A great deal
9/22/2024 20:42,Freshman,18,Yes,6,No,Male,,Tuesday,30,5,3,1,right back,69,80,18,12,0,No,No,1382,A great deal
9/22/2024 23:26,Sophomore,18,No,6,No,Male,35,Sunday,5.2,4,1,8,right front,68,130,1,3,2500,No,Yes,1290,Somewhat
9/22/2024 23:46,Sophomore,17,No,10,yes,Male,25,Tuesday,30,6,3,3,left front,69,83,20,7,4000,Yes,No,1391,A great deal
9/23/2024 15:49,Senior,16,No,8,No,Female,9,Tuesday,120,8,3,2,left front,68,90,19,4,"6,000",Yes,No,850,Somewhat
9/23/2024 16:26,Sophomore,18,No,6.5,No,Male,25,Sunday,35,10,4,3,right back,70,95,13,7,"10,000",No,No,"1,100",A great deal
9/23/2024 17:04,Junior,15,No,7,No,Male,15,Tuesday,90,7,4,1,left front,70,92,1,11,2140,No,Yes,1280,A great deal
9/23/2024 17:53,Senior,15,No,8,yes,Male,25,Saturday,40,6,3,2,right back,78,125,7,13,"28,000",Yes,Yes,960,A great deal
9/23/2024 18:20,Senior,15,Sometimes,8,yes,Female,30,Friday,100,10,3,2,left front,63,65,21,4,I don’t work ,Yes,No,I live at home so 0,Somewhat
9/23/2024 19:46,Senior,17,No,8,yes,Female,7,Saturday,80,6,5,3,right back,64,85,21,12,0,No,Yes,0,A great deal
9/23/2024 21:27,Junior,17,Yes,6,yes,Female,6,Thursday,75,6,4,0,right back,65,120,2,8,5000,Yes,No,3000,A great deal
9/23/2024 22:25,Junior,18,No,7,No,Female,20,Sunday,100,40,2,2,right back,65,85,3,26,4800,Yes,Yes,1400,A great deal
9/23/2024 22:27,Junior,15,No,7,yes,Male,11,Monday,85,20,2,1,left back,67,90,9,35,8000,No,Yes,700,Somewhat
9/23/2024 23:26,Senior,17,No,7,yes,Male,40,Sunday,40,4,4,1,right back,69,110,21,7,"5,000",No,Yes,0,A great deal
9/24/2024 10:22,Sophomore,18,No,7,yes,Male,30,Monday,65,5,3,4,right back,5.11,132,1,4,1100,No,No,1500,Somewhat
9/24/2024 10:47,Junior,15,No,7,No,Female,10,Thursday,120,20,4,1,left front,62,85,19,12,about 25k,Yes,No,0,Somewhat
9/24/2024 11:15,Junior,18,No,8,yes,Female,18,Thursday,30,24,4,2,right front,57,70,12,3,5000,Yes,No,1010,A great deal
9/24/2024 12:15,Sophomore,17,No,7,No,Female,20,Tuesday,130,about 20 pairs,3,2,right front,5.58,38,1,6,600,No,Yes,1880,A little
9/24/2024 13:51,Junior,18,No,7,yes,Male,15,Monday,110,5,4,2,left front,66,80,7,6,1000,No,No,2100,A great deal
9/24/2024 13:59,Sophomore,20,No,7,No,Female,15,Wednesday,100,10,3,2,left front,66,95,19,10,15000,Yes,Yes,1000,Somewhat
9/24/2024 14:48,Sophomore,14,Sometimes,9,"yes, No",Female,35,Monday,60,3,5,1,right front,62,75,19,11,"11,000",No,No,"1,300",A great deal
9/24/2024 15:08,Sophomore,15,No,8,No,Female,20,Sunday,50,10,5,2,right front,62,80,19,18,2000,No,No,1700,Somewhat
9/24/2024 15:56,Junior,15,No,8,yes,Female,5,Tuesday,100,5,3,1,left back,66,86,0,13,1787,No,Yes,1400,A great deal
9/24/2024 16:57,Junior,15,No,7.5,No,Male,7,Thursday,25,3,4,1,left front,72,100,19,5,3500,Yes,No,1000,A great deal
9/24/2024 17:01,Junior,15,No,7,yes,Male,25,Tuesday,56,6,4,4,right front,74,96,1,39,"25,000",No,No,1050,A great deal
9/24/2024 17:41,Junior,16,No,7,No,Male,20,Tuesday,60,12,2,0,left front,76,,2,2,0,Yes,Yes,1055,Somewhat
9/24/2024 17:43,Sophomore,15,Yes,8,No,Female,30,Wednesday,150,9,4,1,left front,64,,16,10,"$6,000 ",Yes,No,$0 ,A great deal
9/24/2024 18:34,Freshman,19,No,7,No,Female,,Monday,1,8,4,2,right front,67,72,8,5,0,Yes,Yes,1436,Somewhat
9/24/2024 20:53,Sophomore,15,No,7,No,Female,,Thursday,65,12,2,3,left front,68,110,18,10,"10,000",No,Yes,700,A great deal
9/24/2024 21:37,Senior,17,Sometimes,9,yes,Prefer not to answer,8,Monday,120,12,4,2,left front,66,92,21,8,3500,No,No,1210,A great deal
9/25/2024 6:32,Junior,18,No,7,yes,Male,15,Monday,50,4,3,1,right back,65,91,2,10,"$1,079 ",No,No,"$1,237 ",A great deal
9/25/2024 9:44,Sophomore,17,Sometimes,6,yes,Male,4,Friday,30,7,5,0,left back,72,93,1,5,0,No,No,1000,A great deal
9/25/2024 10:11,Sophomore,15,No,6,yes,Female,20,Monday,60,7,4,6,right front,68,45,11,1,0,Yes,Yes,0,A great deal
9/25/2024 10:16,Junior,17,Sometimes,7,yes,Female,20,Friday,80,6,3,1,left front,61,80,18,11,0,Yes,Yes,0,A great deal
9/25/2024 10:28,Sophomore,15,Sometimes,7,yes,Female,10,Tuesday,280,15,4,1,left back,64,90,2,15,2000,Yes,No,1737,A great deal
9/25/2024 10:32,Sophomore,15,No,8,yes,Female,10,Wednesday,90,5,3,1,right back,67,90,19,6,"10,000",Yes,Yes,"1,400",Somewhat
9/25/2024 10:37,Junior,13,No,8,No,Male,15,Friday,55,10,4,1,left back,75,125,21,11,"10,500",Yes,Yes,1150,A great deal
9/25/2024 10:40,Sophomore,18,No,7,No,Female,18,Friday,6,7,4,0,left front,66.93,,1,4,0,Yes,Yes,1500 dollars ,Somewhat
